Timestamp,UE4Editor-AnalyticsET.dll,UE4Editor-ApplicationCore.dll,UE4Editor-AssetRegistry.dll,UE4Editor-Core.dll,UE4Editor-CoreUObject.dll,UE4Editor-DerivedDataCache.dll,UE4Editor-Engine.dll,UE4Editor-GameProjectGeneration.dll,UE4Editor-Json.dll,UE4Editor-MediaUtils.dll,UE4Editor-Projects.dll,UE4Editor-PropertyEditor.dll,UE4Editor-RHI.dll,UE4Editor-RenderCore.dll,UE4Editor-SequenceRecorder.dll,UE4Editor-Slate.dll,UE4Editor-SlateCore.dll,UE4Editor-TargetPlatform.dll,UE4Editor-UnrealEd.dll,UE4Editor.exe
18.7,2,1,0,335,87,1,25,0,1,0,43,1,1,73,0,1,7,3,0,1295
18.8,2,1,0,340,88,1,25,0,1,0,43,1,1,73,0,1,7,3,0,1299
18.9,2,1,2,341,88,1,25,0,1,0,43,1,1,73,0,1,8,3,0,1305
19,2,1,2,341,88,1,26,0,1,0,43,1,1,73,0,2,8,3,0,1313
19.1,2,1,2,341,88,1,26,0,1,0,43,1,1,73,0,2,8,3,0,1323
19.2,2,1,2,342,88,1,26,0,1,0,43,1,1,73,0,2,8,3,0,1332
19.3,2,1,2,343,89,1,26,0,1,0,43,1,1,73,0,2,10,3,0,1338
19.4,2,1,2,343,89,1,27,0,1,0,43,1,1,73,0,2,10,3,0,1347
19.5,2,1,2,343,90,1,27,0,1,0,43,1,1,73,0,2,11,3,0,1355
19.6,2,1,2,343,91,1,27,0,1,0,43,1,1,73,0,2,11,3,0,1364
19.7,2,1,2,343,91,1,27,0,1,0,43,1,1,73,0,2,11,3,0,1374
19.8,2,1,2,344,91,1,27,0,1,0,43,1,1,73,0,2,12,3,0,1382
19.9,2,1,2,344,91,1,27,0,1,0,43,1,1,73,0,2,12,3,0,1392
20,2,1,2,344,91,1,27,0,1,0,43,1,1,73,0,2,12,3,0,1402
20.1,2,1,2,344,91,1,27,0,1,0,43,1,1,73,0,2,12,3,0,1412
20.2,2,1,2,344,91,1,27,0,1,0,43,1,1,73,0,2,13,3,0,1421
20.3,2,1,2,345,91,1,27,0,1,0,43,1,1,73,0,2,15,3,0,1428
20.4,2,1,2,345,91,1,27,0,1,0,43,1,1,73,0,2,15,3,0,1438
20.5,2,1,2,347,91,1,27,0,1,0,43,1,1,73,0,2,17,3,0,1444
20.6,2,1,2,347,91,1,27,0,1,0,43,1,1,73,0,3,17,3,0,1453
20.7,2,1,2,348,91,1,27,0,1,0,43,1,1,73,0,3,18,3,0,1461
20.8,2,1,2,348,91,1,27,1,1,0,43,1,1,73,0,3,18,3,1,1469
20.9,2,1,2,349,92,1,27,1,1,0,43,1,1,73,0,3,18,3,1,1477
21,2,1,2,350,92,1,27,1,1,0,43,1,1,73,0,3,19,3,1,1485
21.1,2,1,2,351,92,1,27,1,1,0,43,1,1,74,0,3,20,3,1,1492
21.2,2,1,2,351,92,1,28,1,1,0,43,1,1,74,0,3,20,3,1,1501
21.3,2,1,2,351,92,1,28,1,1,0,43,1,1,74,0,3,20,3,1,1511
21.4,2,1,2,351,92,1,28,1,1,0,43,1,1,74,0,4,20,3,1,1520
21.5,2,1,2,353,92,1,28,1,1,0,43,1,1,74,0,4,21,3,1,1527
21.6,2,2,2,353,92,1,28,1,1,0,43,1,1,74,0,4,21,3,1,1536
21.7,2,2,2,353,92,1,28,1,1,0,43,1,1,74,0,4,21,3,1,1546
21.8,2,2,2,353,92,1,28,1,1,0,43,1,1,74,0,5,21,3,1,1555
21.9,2,2,2,356,92,1,28,2,1,0,43,1,1,74,0,6,21,3,1,1560
22,2,2,2,356,92,1,28,2,1,0,43,1,1,74,0,6,23,3,1,1568
